;Accuracy;Precision;Recall;F1
0;0.9524305555555556;0.9132813795390482;0.995481655521417;0.9526115530958147
1;0.944212962962963;0.9247311827956989;0.9961682448799823;0.9591213637520142
2;0.9521412037037037;0.9146551245768825;0.9930116272064582;0.9522241478913922
3;0.8623263888888889;0.8064111979954206;0.9853771841841313;0.8869565217391305
4;0.9454282407407407;0.9255549650464004;0.9971371944505616;0.9600135690963831
5;0.8651909722222222;0.8073943358870621;0.9902866494219501;0.8895369514190198
6;0.952025462962963;0.9147282518181313;0.9926501596481716;0.9520975384259794
7;0.9384259259259259;0.9247760208083894;0.9865227923364898;0.9546520052849167
8;0.9355324074074074;0.8964413793103448;0.9788541478402314;0.9358368851514803
9;0.92734375;0.9017955720843744;0.9497552019583844;0.9251542519896271
10;0.9440972222222223;0.923161540028519;0.9979740145342436;0.9591111111111111
11;0.8425347222222223;0.8914511494252874;0.7594247246022032;0.820158625247852
12;0.9538483796296297;0.9172413793103448;0.9935538285438882;0.9538737383961363
13;0.8647280092592593;0.8067595459236326;0.9904450192683313;0.8892153842508117
14;0.954369212962963;0.9181140057893565;0.993614073136936;0.9543731736249748
15;0.902806712962963;0.9118076264196434;0.8794981640146878;0.8953615152175944
16;0.7588252314814815;0.7955203922442612;0.7537348888771578;0.774064134883847
17;0.7241319444444444;0.9342776927003573;0.4480416156670747;0.6056419589675712
18;0.9447627314814815;0.924546790788829;0.9973133670997577;0.9595525139309701
19;0.8643229166666667;0.8074102829537612;0.9881750514702001;0.8886937118712464
20;0.9445023148148148;0.9236538539925814;0.9980180576965426;0.9593970955586603
21;0.7912905092592593;0.8928294740466558;0.6347613219094247;0.7419966376936008
22;0.7512731481481482;0.8652827790722305;0.6469408224674023;0.7403491814172658
23;0.7935474537037037;0.9395473211727629;0.6020807833537332;0.7338778859423369
